================================================================================
  J/L/P 파일 중국어(한자) 문자 완전 비교 분석 보고서
  생성일시: 2026-04-22 00:36:16
================================================================================

[1/5] J파일 텍스트 추출 중...
  J 원본: 1,036,441자 / J 최종본: 1,038,941자

[2/5] L파일 텍스트 추출 중...
  L 원본: 628,016자 / L 수동완료: 629,360자

[3/5] P파일 텍스트 추출 중...
  P 파일: 313,122자
  P 대체파일 존재함, 추출 중...
  P 대체파일: 313,122자

[4/5] J파일 중국어 문자 비교 분석...

================================================================================
  [J파일] 중국어(한자) 문자 완전 비교 분석
================================================================================

원본 중국어 문자 종류: 5,475개
최종본 중국어 문자 종류: 5,475개
원본 중국어 문자 총 출현: 141,326회
최종본 중국어 문자 총 출현: 141,240회
출현 차이: -86회

--- 중국어 문자 종류 변화 ---
원본에만 있는 문자 (삭제됨): 0개
최종본에만 있는 문자 (추가됨): 0개
공통 문자: 5475개

--- 중국어 문자 출현 빈도 변화 (공통 문자) ---
문자   코드               원본      최종본       차이 상태      
--------------------------------------------------
  轄  U+8F44            2        2       +0 동일
  机  U+673A          689      689       +0 동일
  励  U+52B1           12       12       +0 동일
  械  U+68B0           42       42       +0 동일
  腑  U+8151            1        1       +0 동일
  馀  U+9980            2        2       +0 동일
  略  U+7565           35       35       +0 동일
  刹  U+5239            2        2       +0 동일
  橜  U+6A5C            1        1       +0 동일
  捤  U+6364            1        1       +0 동일
  抠  U+62A0            1        1       +0 동일
  茗  U+8317            1        1       +0 동일
  唑  U+5511            2        2       +0 동일
  刍  U+520D            1        1       +0 동일
  谆  U+8C06            4        4       +0 동일
  茯  U+832F            1        1       +0 동일
  淋  U+F9F5            1        1       +0 동일
  羹  U+7FB9            1        1       +0 동일
  柴  U+67F4            9        9       +0 동일
  修  U+4FEE           24       24       +0 동일
  僚  U+50DA            1        1       +0 동일
  杏  U+674F            2        2       +0 동일
  蝉  U+8749            5        5       +0 동일
  寐  U+5BD0            2        2       +0 동일
  狷  U+72F7            9        9       +0 동일
  丛  U+4E1B           10       10       +0 동일
  哭  U+54ED           10       10       +0 동일
  林  U+F9F4            1        1       +0 동일
  芡  U+82A1            1        1       +0 동일
  珑  U+73D1            1        1       +0 동일
  噜  U+565C            1        1       +0 동일
  镣  U+9563            1        1       +0 동일
  吴  U+5434           13       13       +0 동일
  缰  U+7F30            6        6       +0 동일
  霹  U+9739            1        1       +0 동일
  剑  U+5251           59       59       +0 동일
  葉  U+F96E            1        1       +0 동일
  狻  U+72FB            1        1       +0 동일
  悸  U+60B8            5        5       +0 동일
  坦  U+5766            6        6       +0 동일
  尔  U+5C14           28       28       +0 동일
  鶴  U+9DB4            1        1       +0 동일
  韩  U+97E9           11       11       +0 동일
  喇  U+5587            1        1       +0 동일
  嗅  U+55C5            3        3       +0 동일
  妳  U+59B3            2        2       +0 동일
  腕  U+8155            9        9       +0 동일
  梮  U+68AE            2        2       +0 동일
  蝰  U+8770            2        2       +0 동일
  辛  U+8F9B           10       10       +0 동일
  饲  U+9972            6        6       +0 동일
  鬚  U+9B1A            2        2       +0 동일
  煞  U+715E            5        5       +0 동일
  力  U+529B          244      244       +0 동일
  哉  U+54C9            1        1       +0 동일
  跪  U+8DEA            1        1       +0 동일
  矾  U+77FE            9        9       +0 동일
  吟  U+541F            5        5       +0 동일
  雄  U+96C4           32       32       +0 동일
  气  U+6C14          174      174       +0 동일
  芭  U+82AD            5        5       +0 동일
  崖  U+5D16            7        7       +0 동일
  曲  U+66F2           83       83       +0 동일
  炙  U+7099            3        3       +0 동일
  割  U+5272            9        9       +0 동일
  啥  U+5565            3        3       +0 동일
  覺  U+89BA            7        7       +0 동일
  钱  U+94B1           75       75       +0 동일
  謭  U+8B2D            1        1       +0 동일
  蒺  U+84BA           10       10       +0 동일
  淡  U+6DE1            8        8       +0 동일
  诧  U+8BE7            1        1       +0 동일
  纫  U+7EAB            2        2       +0 동일
  层  U+5C42           47       47       +0 동일
